가게명,판매업종,배달소요시간,평점,리뷰수,배달기준금액,배달비
도미노피자-상계점,6,52,4.7,1147,21900,2000
자가제빵선명희피자-노원점,6,22,5.0,302,20000,3400
피치랑피자&치킨-노원상계점,6,50,4.9,193,16000,2000
돼지게티-노원구점,6,44,4.7,63,15900,2600
마마스임실치즈피자-노원상계점,6,52,4.8,148,18000,2000
이태리면가게파스타&필라프-노원점,6,21,4.9,82,10000,3400
덤덤피자-방학점,6,50,4.9,148,17000,1500
피자애-상계점,6,52,4.6,62,12000,4000
피자알볼로-상계점,6,53,4.8,621,18000,4000
굽네치킨&피자-방학1동점,6,52,4.9,1019,15000,3000
1인피자고피자-중계학원가점,6,25,4.7,189,9900,4400
어글리스토브-노원역점,6,21,4.8,34,15900,3400
수제피자꼬레노,6,53,4.8,472,14900,2000
파스토보이-도봉점,6,53,5.0,223,9500,4000
파스타미식당,6,19,4.9,199,9900,3900
닐리비스트로-중계점,6,19,4.5,30,12000,4400
오구쌀피자-상계7단지점,6,52,4.8,81,14900,2500
제주돈줘&보네르파스타,6,18,4.9,42,10000,2900
빅보이스테이크 중계점,6,27,4.9,892,15000,5400
피자꾼-창동점,6,53,4.9,64,20000,2000
리얼파스타-창동점,6,53,4.8,86,15000,3500
컨트리맨즈-중계점,6,25,5.0,26,20000,3400
엣지리스피자,6,24,4.9,59,14900,2900
밥깨비-노원점,6,52,4.9,1039,12000,2000
프랭크수제치즈버거-노원역점,6,52,4.8,734,9900,3400
써브웨이-노원점,6,50,4.7,787,8000,3900
피자창고-쌍문점,6,53,5.0,3,13500,2900
투파인드피터-노원점,6,52,4.7,6,15000,3000
헝그리브라더스필라프&파스타-쌍문점,6,53,4.9,1303,15000,5500
샐러드로우&트라타-노원점,6,52,4.9,139,11000,2700
요남자파스타,6,23,4.9,121,15000,5400
피자먹다-중계점,6,19,5.0,5,12900,3900
밀창고-방학점,6,53,0.0,0,12900,2500
2ndmeal(세컨밀),6,19,4.8,63,13000,3900
삿포로돈까스앤스파게티,6,28,4.7,5632,12000,6400
미(美)스테이크,6,22,4.6,34,11000,3400
502세컨즈카페-노원점,6,27,4.8,1280,14000,3000
솔로박스-태릉점,6,50,5.0,44,11900,4000
마르코존스피자&오렌지몽키파스타,6,17,0.0,0,9900,3400
돈카춘돈까스&카레-노원점,6,20,5.0,212,10000,2900
두마리찜닭두찜-수락산역점,6,53,4.9,1926,17800,2000
굽네치킨&피자-상계6.7동점,6,49,4.8,3914,15000,3000
배가당함박스테이크,6,13,4.8,16,13000,2900
비엣포쌀국수,6,53,4.8,314,15900,3500
멕시칸라이브그릴-하계점,6,28,4.8,201,17000,6400
제임스키친-노원점,6,19,4.8,53,20000,3400
써브웨이-중계은행사거리점,6,50,4.7,175,8000,4200
프랭크수제치즈버거-수락산역점,6,53,4.7,310,9900,3300
스테이크스토리,6,53,4.5,14,10000,4000
프랭크버거-중계에이스타워점,6,53,4.9,48,9800,4000
버거브라더-도봉점,6,11,4.9,224,13000,2900
소테파스타,6,52,4.9,363,11000,3500
매일파스타-중계점,6,29,4.8,30,13000,5400
삼각지붕에화덕피자,6,50,5.0,10,12000,5000
오렌지몽키파스타&피자-노원점,6,13,5.0,3,15000,2900
헬로파스타,6,20,4.6,10,12000,4400
포메인-중계점,6,51,4.6,98,15000,3500
마이스테이크,6,53,5.0,1,10000,4000
뉴욕핫도그앤커피-쌍문점,6,52,4.4,44,15000,5000
고져스파스타,6,25,5.0,42,9900,6400
TGIF-롯데백화점노원점,6,52,4.3,10,19000,2000
굽네치킨&피자-수락점,6,52,4.7,2288,13500,4000
나우키친-중계점,6,21,4.8,231,15000,4400
아담만두앤파스타-신창동점,6,22,4.7,3,12900,5400
두마리찜닭두찜-노원하계점,6,51,5.0,2807,12000,5000
담꾹-노원점,6,16,4.9,19,10000,2900
홍대쌀국수-방학점,6,53,4.7,23,12000,3000
장스테이크&파스타-본점,6,19,4.8,31,13000,3400
피치떡&노원점,6,52,5.0,75,14900,1000
지니피자,6,20,4.8,6,15000,4400
조아요돈까스,6,53,4.1,10,10000,4000
라와마라탕-2호점,7,57,5.0,644,15000,3000
착한마라탕-노원점,7,50,5.0,54,13000,3000
탕수육튀김나라,7,45,4.8,20,20000,5000
신미방마라탕-노원역점,7,51,4.9,1346,15000,3000
황제해물짬뽕,7,16,4.7,1857,16000,2900
라화쿵부마라탕-창동점,7,53,4.9,1139,13000,3000
춘향마라탕,7,22,5.0,1056,11900,3900
홍콩반점0410-노원역남부점,7,51,4.8,1278,13000,3000
춘리마라탕-노원점,7,28,4.9,491,15000,3400
소림마라탕-노원점,7,51,4.9,4247,13500,2900
춘리마라탕-방학점,7,53,4.8,115,16900,2900
홍콩반점0410-창동역점,7,23,4.8,1678,13000,3400
홍콩반점0410-방학점,7,53,4.9,667,20000,3900
펑라이,7,18,4.9,219,15000,2900
짜장마을-방학점,7,29,4.8,817,15000,900
탕화쿵푸마라탕-노원역점,7,21,4.9,141,15000,3400
라쿵푸마라탕-창동점,7,53,4.8,38,12000,2000
슈엔챠이,7,51,4.8,595,25000,3000
쉐프의생안심탕수육-노원직영점,7,53,4.9,193,16000,2500
라화쿵부마라탕-상계점,7,51,5.0,1,10900,1500
경화루-상계점,7,51,4.3,104,10000,2000
도깨비마라탕,7,51,4.9,165,12000,3500
미미,7,22,4.7,60,15000,3900
라사천마라탕-노원점,7,51,4.9,468,14900,3400
차이홍-쌍문점,7,26,4.9,241,15000,5400
미연마라탕-방학점,7,17,4.5,22,12000,2900
리차이나,7,24,4.6,305,17000,5400
정성반점-노원점,7,22,4.8,441,24000,3400
중식당몽,7,22,4.9,27,17000,3900
문성해물짬뽕,7,26,4.8,219,15000,5400
1989마라탕-노원점,7,51,4.9,139,15000,2500
브라더양꼬치&마라탕-16호점,7,18,4.9,59,15000,3300
불간짬뽕-당고개점,7,19,5.0,4,15000,3900
칭따오양마라탕군,7,18,4.7,19,15000,2900
뜸들이다-창동점,7,17,4.9,1672,8700,2400
라화쿵부마라탕-상계역점,7,53,4.8,170,13000,3000
취하리,7,22,5.0,7,15000,5400
조선우육탕&면-노원점,7,23,5.0,7,15000,3900
향림,7,27,4.5,1217,15000,6400
탕수육주는육군짬뽕-노원점,7,53,5.0,39,14900,3000
마차이나,7,21,3.8,5,15000,3400
요리왕2호점-창동점,7,53,4.6,126,10000,2000
용상중화요리,7,51,4.5,66,17000,1000
차이나온,7,27,4.8,245,20000,6400
뽕쉡,7,13,4.7,281,20000,2900
파스타입니다-노원점,7,52,4.9,1310,7000,3200
"해담,짜장볶는집",7,17,4.9,18,21000,3400
진향원마라탕-수유점,7,51,5.0,36,12900,5800
황금룡-방학점,7,19,4.4,128,10000,2900
"중화요리전문점,황금성",7,27,4.5,37,16000,6400
